patch1,patch2,dS,dL
IC1_background,IC2_background,2.1926072812627515,0.039859
IC1_background,IC3_background,1.913961591915154,5.2267621
IC1_background,IC4_background,1.0022063917738346,0.317138
IC1_background,IC5_background,2.0654206912289608,6.108261
IC1_background,IC6_background,2.2405660287127813,6.3409121
IC1_background,IC7_background,2.089815795900781,6.2028197
IC1_background,IC8_background,3.22678063171551,11.3059561
IC1_background,IC9_background,1.3876376751784365,5.4288791
IC1_background,IC10_background,0.14443061119045442,0.1115459
IC1_background,IC11_background,0.6945245886244634,3.5373354
IC1_background,IC12_background,0.25446140458866623,0.5474209
IC1_background,IC13_background,2.763232394798666,8.1921828
IC1_background,IC14_background,0.20565278847894436,1.2695875
IC1_background,IC15_background,1.583001426046722,4.4992137
IC1_background,IC16_background,1.785578545019442,2.5872941
IC1_background,IC17_background,0.6350619411700995,0.1767466
IC1_background,IC18_background,4.3901837260539045,8.3814249
IC1_background,IC19_background,1.893594474229193,5.4485529
IC1_background,IC20_background,3.161218722579089,5.1611532
IC1_background,IC21_background,1.237976501092708,4.7582849
IC1_background,IC22_background,3.1533741188825517,7.5778264
IC1_background,IC23_background,1.166069305840797,2.2588201
IC1_background,IC24_background,1.3781210163031141,4.3277321
IC1_background,IC25_background,2.9149408217778245,9.5935785
IC1_background,IC26_background,1.2060303131267787,5.389645
IC1_background,IC27_background,4.977887250057289,6.3971867
IC1_background,IC28_background,0.476703940772893,3.5522714
IC1_background,IC29_background,1.6764991621511787,6.3077388
IC1_background,IC30_background,3.188259268250638,8.6954769
IC1_background,IC31_background,2.0028412891044822,3.4197029
IC1_background,IC32_background,3.6065101894670075,9.1541081
IC1_background,IC33_background,0.49986352591003275,0.6255824
IC1_background,IC34_background,0.43269675409077374,2.2168634
IC1_background,IC35_background,0.2187160125585224,0.0822364
IC1_background,IC36_background,1.2381028346858014,3.7874264
IC1_background,IC37_background,0.09274618160374183,3.4682459
IC1_background,IC38_background,1.4837767154141885,9.0135471
IC1_background,IC39_background,0.8398807714726122,1.5738853
IC1_background,IC40_background,3.5168221147495724,9.3293324
IC1_background,IC41_background,2.479953311223808,6.8334343
IC1_background,IC42_background,1.8512820536770953,4.6259184
IC1_background,IC43_background,2.087290400545733,7.6865347999999996
IC1_background,IC44_background,3.112683543960459,11.5169161
IC1_background,IC45_background,1.2519342231459893,0.7917036
IC1_background,IC46_background,0.4295726507864613,1.3221282
IC1_background,IC47_background,2.503836235600114,5.8008375
IC1_background,IC48_background,0.5783264599452131,5.7268886
IC1_background,IC49_background,3.0226396437525183,9.0256315
IC1_background,IC50_background,2.426022688488751,7.1384451
IC1_background,IC51_background,0.43204317200942205,1.2542156
IC1_background,IC52_background,2.4253442911453535,5.2913648
IC1_background,IC53_background,1.9796800062941915,4.5944409
IC1_background,IC54_background,0.5584290466339944,2.1459045
IC1_background,IC55_background,2.4889091146395352,7.7575832
IC1_background,IC56_background,0.35177171685271985,1.3086511
IC1_background,IC57_background,0.5877363834655638,0.8502795
IC1_background,IC58_background,0.8325002479475291,2.3082145
IC1_background,IC59_background,1.1416544779455684,4.7099549
IC1_background,IC60_background,1.753105791337705,6.3248505
IC1_background,IC61_background,0.2593291617697488,0.5423412
IC1_background,IC62_background,0.4425717509728914,3.4041325
IC1_background,IC63_background,1.4073578063863241,5.6492074
IC1_background,IC64_background,1.7693327172283722,7.4343932
IC1_background,IC65_background,2.3949599428252415,4.5409591
IC1_background,IC66_background,2.801556052978934,9.0348306
IC1_background,IC67_background,2.527104782193448,8.0032689
IC1_background,IC68_background,0.45117590591878487,5.8179459
IC1_background,IC69_background,1.9872902543587125,3.5549063
IC1_background,IC70_background,3.7981487498598607,10.0430186
IC1_background,IC71_background,0.7114909687873888,1.8182977
IC1_background,IC72_background,2.2614045864977457,5.4079051
IC1_background,IC73_background,2.40520456226386,7.4352513
IC1_background,IC74_background,1.8410636977944788,7.1641625
IC1_background,IC75_background,5.391828486036367,0.7265935
IC1_background,IC76_background,3.5858910902465984,9.0163014
IC1_background,IC77_background,1.2383157759983792,0.0949227
IC1_background,IC78_background,2.891189975968838,7.2633957
IC1_background,IC79_background,2.4437587631772235,7.7700359
IC1_background,IC80_background,1.33827153031447,4.9986748
IC1_background,IC81_background,1.4414673449950237,3.2780012
IC1_background,IC82_background,0.219872748844484,1.0608677
IC1_background,IC83_background,2.271475552048108,5.6798921
IC1_background,IC84_background,0.5231241117500298,2.7288213
IC2_background,IC3_background,0.3185951953990282,5.2666211
IC2_background,IC4_background,1.1933726585677733,0.277279
IC2_background,IC5_background,0.5223661718075776,6.1481201
IC2_background,IC6_background,0.12576336874695382,6.3807711
IC2_background,IC7_background,0.32875234839652884,6.2426787
IC2_background,IC8_background,1.2572531615192741,11.3458151
IC2_background,IC9_background,0.9567744568077835,5.4687382
IC2_background,IC10_background,2.1151458707760997,0.151405
IC2_background,IC11_background,1.6040004790375235,3.4974764
IC2_background,IC12_background,2.4401776210277353,0.5872799
IC2_background,IC13_background,0.7207692195146537,8.2320418
IC2_background,IC14_background,2.39795605306369,1.2297285
IC2_background,IC15_background,0.6691137438506379,4.5390727
IC2_background,IC16_background,0.41776250590469355,2.6271531
IC2_background,IC17_background,1.5946054483149796,0.2166057
IC2_background,IC18_background,2.202812048002326,8.4212839
IC2_background,IC19_background,0.4295687517979064,5.488412
IC2_background,IC20_background,0.9825481355046111,5.2010123
IC2_background,IC21_background,1.3374946696368086,4.7184258
IC2_background,IC22_background,1.010835684508846,7.6176854
IC2_background,IC23_background,1.0304102157430346,2.2986791
IC2_background,IC24_background,0.9793035636855745,4.3675912
IC2_background,IC25_background,0.7798237770836135,9.6334375
IC2_background,IC26_background,1.1297360223431179,5.429504
IC2_background,IC27_background,2.7923671423346033,6.4370458
IC2_background,IC28_background,2.5226096307696926,3.5124124
IC2_background,IC29_background,0.6467592759183937,6.3475979
IC2_background,IC30_background,1.0059606567390245,8.7353359
IC2_background,IC31_background,0.19657872806168075,3.4595619
IC2_background,IC32_background,1.4300781567845342,9.1939672
IC2_background,IC33_background,2.68591523448282,0.5857234
IC2_background,IC34_background,1.8695420980056314,2.2567224
IC2_background,IC35_background,2.407474964894609,0.0423774
IC2_background,IC36_background,0.9608234145849216,3.8272855
IC2_background,IC37_background,2.178067992201511,3.4283868
IC2_background,IC38_background,3.66589163070569,8.973688
IC2_background,IC39_background,1.3837814195231266,1.6137444
IC2_background,IC40_background,1.4028727358574908,9.3691914
IC2_background,IC41_background,0.4122251967896676,6.8732934
IC2_background,IC42_background,0.3438348102314848,4.6657774
IC2_background,IC43_background,0.3627867948373355,7.7263939
IC2_background,IC44_background,1.2704952403847967,11.5567751
IC2_background,IC45_background,1.0277072396791058,0.8315626
IC2_background,IC46_background,2.527078884956224,1.2822692
IC2_background,IC47_background,0.3917998228101484,5.8406965
IC2_background,IC48_background,2.7218978388069752,5.6870296
IC2_background,IC49_background,0.9520982155999081,9.0654906
IC2_background,IC50_background,0.5281068729021212,7.1783042
IC2_background,IC51_background,2.6202824587683367,1.2143566
IC2_background,IC52_background,0.4829277208351268,5.3312239
IC2_background,IC53_background,0.2708703356670785,4.6343
IC2_background,IC54_background,1.7034369324219747,2.1060455
IC2_background,IC55_background,0.5166939991641909,7.7974423
IC2_background,IC56_background,2.2115836783047316,1.2687921
IC2_background,IC57_background,2.7709427988896125,0.8901386
IC2_background,IC58_background,1.3724168151804106,2.3480736
IC2_background,IC59_background,1.0763966574704014,4.749814
IC2_background,IC60_background,0.5141634023289099,6.3647095
IC2_background,IC61_background,2.436245248968734,0.5822002
IC2_background,IC62_background,2.6285520502478117,3.3642734
IC2_background,IC63_background,1.123726436183329,5.6890665
IC2_background,IC64_background,0.7580447135825061,7.4742523
IC2_background,IC65_background,0.4135215220347182,4.5808181
IC2_background,IC66_background,0.7748492145437869,9.0746896
IC2_background,IC67_background,0.6682757224427354,8.0431279
IC2_background,IC68_background,2.6428700484027536,5.7780869
IC2_background,IC69_background,0.2802611447634453,3.5947653
IC2_background,IC70_background,1.6451694347865033,10.0828776
IC2_background,IC71_background,2.897010032308339,1.7784386
IC2_background,IC72_background,0.17079972241539698,5.4477642
IC2_background,IC73_background,0.4878949258275674,7.4751104
IC2_background,IC74_background,0.3983067860070807,7.2040216
IC2_background,IC75_background,3.290328221070795,0.6867345
IC2_background,IC76_background,1.482832254998095,9.0561605
IC2_background,IC77_background,0.9817397641003105,0.0550637
IC2_background,IC78_background,0.7140275098156923,7.3032548
IC2_background,IC79_background,0.4993147096897066,7.809895
IC2_background,IC80_background,0.864607131592374,5.0385338
IC2_background,IC81_background,0.7727012415786253,3.3178603
IC2_background,IC82_background,2.1665981979235918,1.0210087
IC2_background,IC83_background,0.44477074143163425,5.7197512
IC2_background,IC84_background,2.528944081600034,2.6889622
IC3_background,IC4_background,0.9291840635745857,5.5439001
IC3_background,IC5_background,0.39270990611166695,0.8814989
IC3_background,IC6_background,0.33278789690974486,1.11415
IC3_background,IC7_background,0.2535922443759125,0.9760576
IC3_background,IC8_background,1.4134085284132043,6.079194
